Name,Category,Wiki_Slug,X_Handle,Seed Votes,Induction Status,Image Slug
Angela Rayner,Politics,Angela_Rayner,AngelaRayner,0,Queue,angela-rayner
Claudia Sheinbaum,Politics,Claudia_Sheinbaum,Claudiashein,0,Queue,claudia-sheinbaum
Donald Tusk,Politics,Donald_Tusk,donaldtusk,0,Queue,donald-tusk
Friedrich Merz,Politics,Friedrich_Merz,_FriedrichMerz,0,Queue,friedrich-merz
Gretchen Whitmer,Politics,Gretchen_Whitmer,gretchenwhitmer,0,Queue,gretchen-whitmer
John Fetterman,Politics,John_Fetterman,JohnFetterman,0,Queue,john-fetterman
Josh Shapiro,Politics,Josh_Shapiro,JoshShapiroPA,0,Queue,josh-shapiro
Kemi Badenoch,Politics,Kemi_Badenoch,KemiBadenoch,0,Queue,kemi-badenoch
Marine Le Pen,Politics,Marine_Le_Pen,MLP_officiel,0,Queue,marine-le-pen
Mark Carney,Politics,Mark_Carney,MarkJCarney,0,Queue,mark-carney
Matt Gaetz,Politics,Matt_Gaetz,mattgaetz,0,Queue,matt-gaetz
Pedro Sánchez,Politics,Pedro_Sánchez,sanchezcastejon,0,Queue,pedro-sánchez
Pete Buttigieg,Politics,Pete_Buttigieg,PeteButtigieg,0,Queue,pete-buttigieg
Rishi Sunak,Politics,Rishi_Sunak,RishiSunak,0,Queue,rishi-sunak
Sadiq Khan,Politics,Sadiq_Khan,SadiqKhan,0,Queue,sadiq-khan
Vivek Ramaswamy,Politics,Vivek_Ramaswamy,VivekGRamaswamy,0,Queue,vivek-ramaswamy
Wes Streeting,Politics,Wes_Streeting,wesstreeting,0,Queue,wes-streeting
Yoon Suk-yeol,Politics,Yoon_Suk-yeol,president_yoon,0,Queue,yoon-suk-yeol
Aravind Srinivas,Tech,Aravind_Srinivas,AravSrinivas,0,Queue,aravind-srinivas
Dario Amodei,Tech,Dario_Amodei,DarioAmodei,0,Queue,dario-amodei
Greg Brockman,Tech,Greg_Brockman,gdb,0,Queue,greg-brockman
Mustafa Suleyman,Tech,Mustafa_Suleyman,mustafasuleyman,0,Queue,mustafa-suleyman
Patrick Collison,Tech,Patrick_Collison,patrickc,0,Queue,patrick-collison
Peter Steinberger,Tech,Peter_Steinberger_(programmer),steipete,0,Queue,peter-steinberger
Andy Jassy,Business,Andy_Jassy,ajassy,0,Queue,andy-jassy
Brian Chesky,Business,Brian_Chesky,bchesky,0,Queue,brian-chesky
Howard Lutnick,Business,Howard_Lutnick,HowardLutnick,0,Queue,howard-lutnick
Reid Hoffman,Business,Reid_Hoffman,reidhoffman,0,Queue,reid-hoffman
Alex Pereira,Sports,Alex_Pereira,AlexPereiraUFC,0,Queue,alex-pereira
Alexander Zverev,Sports,Alexander_Zverev,AlexZverev,0,Queue,alexander-zverev
Angel Reese,Sports,Angel_Reese,Reese10Angel,0,Queue,angel-reese
Bukayo Saka,Sports,Bukayo_Saka,BukayoSaka87,0,Queue,bukayo-saka
Caleb Williams,Sports,Caleb_Williams,CALEBcsw,0,Queue,caleb-williams
Daniil Medvedev,Sports,Daniil_Medvedev,DaniilMedwed,0,Queue,daniil-medvedev
Ilia Topuria,Sports,Ilia_Topuria,Topuriailia,0,Queue,ilia-topuria
Islam Makhachev,Sports,Islam_Makhachev,MAKHACHEVMMA,0,Queue,islam-makhachev
Jack Draper,Sports,Jack_Draper,jackdraper_,0,Queue,jack-draper
Jannik Sinner,Sports,Jannik_Sinner,janniksin,0,Queue,jannik-sinner
Jayson Tatum,Sports,Jayson_Tatum,jaytatum0,0,Queue,jayson-tatum
Jon Jones,Sports,Jon_Jones,JonnyBones,0,Queue,jon-jones
